name,furniture_type,price,color,shop_name,shop_item_id,shop_url,x_dimension,y_dimension,z_dimension,photo
World's Comfiest Sofa,sofa,15000,#7c2a25,Bongo's House of Furnishings,001,https://flymee.jp/product/20258/?gad_source=1,240.0,85.0,85.0,https://static2.flymee.jp/product_images/ba5c-20258/201811151533287003.jpg
Dog-faced cushion,cushion,3500,#c5bcb0,IKEA,010,https://www.ikea.com/jp/en/p/barndroem-cushion-with-pocket-beige-00511063/,45.0,45.0,20.0,https://www.ikea.com/jp/en/images/products/barndroem-cushion-with-pocket-beige__0968689_pe810520_s5.jpg?f=s
Dozemaster 4000,bed,58000,#b99368,Nitori,100,https://www.nitori-net.jp/ec/product/5652860s/,210.0,31.5,110.0,https://www.nitori-net.jp/ecstatic/image/product/5652860/565286001.jpg?ccp=1708934400&imwidth=415&imdensity=1&ts=20240216070457627
Poisoned Chair,chair,2000,#0b4189,IKEA,110,https://www.ikea.com/jp/ja/p/kyrre-stool-bright-blue-60555558/?source=google&medium=cpc&campaign=ikea_jp_jp_p_shopping_fy21&gad_source=1,45.0,42.0,48.0,https://www.ikea.com/jp/ja/images/products/kyrre-stool-bright-blue__1181813_pe896805_s5.jpg?f=s
Sheep Counter Mk.II,bed,80000,#1b3e39,Just Furniture,101,https://www.justfurnitureonline.com/category/bedrooms/aiden-green-velvet-king-bed.html,220.0,115.0,210.0,https://mfmd.rencdn.com/product/meridian/images/AidenGreen-K.jpg
Cozytron VX-84,sofa,34000,#c59642,Fine Kagu,011,https://www.finekagu.com/products/sf-cauto?currency=JPY&variant=43484255551747&stkn=45a7a757935c&gad_source=1,138.0,66.0,70.0,https://www.finekagu.com/cdn/shop/products/sf-Cauto_MS_600x.jpg?v=1668994027
PLATSA Opening Shelf Unit,shelf,8000,#1b61a4,IKEA,022,https://www.ikea.com/jp/en/p/platsa-open-shelving-unit-blue-60566222/,60.0,40.0,60.0,https://www.ikea.com/jp/en/images/products/platsa-open-shelving-unit-blue__1210277_pe909617_s5.jpg?f=xl
MYLLRA Changing Table with Drawers,chest,9990,#f6eaec,IKEA,023,https://www.ikea.com/jp/en/p/myllra-changing-table-with-drawers-pale-pink-50464667/,85.0,97.0,79.0,https://www.ikea.com/jp/en/images/products/myllra-changing-table-with-drawers-pale-pink__0812335_pe771995_s5.jpg?f=xl
KALLAX Insert With Door,shelf,2000,#8cbb8f,IKEA,024,https://www.ikea.com/jp/en/p/kallax-insert-with-door-wave-shaped-green-80501357/,33.0,33.0,33.0,https://www.ikea.com/jp/en/images/products/kallax-insert-with-door-wave-shaped-green__0959827_pe806227_s5.jpg?f=xl
VINLIDEN 3-seat Sofa,sofa,69990,#6c9596,IKEA,025,https://www.ikea.com/jp/en/p/vinliden-3-seat-sofa-hakebo-light-turquoise-s99304658/,203.0,108.0,97.0,https://www.ikea.com/jp/en/images/products/vinliden-3-seat-sofa-hakebo-light-turquoise__0938990_pe794368_s5.jpg?f=xl
STYRSPEL Gaming Chair,chair,29990,#574768,IKEA,026,https://www.ikea.com/jp/en/p/styrspel-gaming-chair-purple-black-00522028/,71.0,142.0,69.0,https://www.ikea.com/jp/en/images/products/styrspel-gaming-chair-purple-black__1115361_pe872047_s5.jpg?f=xl
Small Bookcase,bookcase,14850,#000000,Francfranc,030,https://francfranc.com/products/1108120014323,600.0,450.0,250.0,https://francfranc.com/cdn/shop/products/1108120014323_d1_x600.jpg?v=1649317900
